Date,Open,High,Low,Close,Adj Close,Volume
2002-10-10,280.000000,380.000000,280.000000,285.600006,234.913315,1500000
2002-10-11,284.000000,294.000000,244.000000,252.000000,207.276459,300000
2002-10-14,null,null,null,null,null,null
2002-10-15,259.600006,294.000000,256.000000,294.000000,241.822525,125000
2002-10-16,310.000000,316.000000,282.000000,294.000000,241.822525,125000
2002-10-17,294.000000,376.000000,290.000000,372.000000,305.979523,300000
2002-10-18,381.600006,400.000000,380.000000,395.200012,325.062134,825000
2002-10-21,396.000000,444.000000,396.000000,400.000000,329.010254,575000
2002-10-22,400.000000,412.000000,364.000000,380.000000,312.559723,250000
2002-10-23,379.600006,384.000000,360.000000,384.000000,315.849854,100000
2002-10-24,386.000000,404.000000,368.000000,370.000000,304.334473,100000
2002-10-25,364.000000,396.000000,362.000000,394.000000,324.075104,75000
2002-10-28,398.000000,464.000000,384.000000,460.000000,378.361786,300000
2002-10-29,484.000000,520.000000,436.000000,456.000000,375.071686,500000
2002-10-30,444.000000,460.000000,436.000000,456.000000,375.071686,200000
2002-10-31,456.000000,460.000000,404.000000,404.000000,332.300354,200000
2002-11-01,404.000000,424.000000,404.000000,420.000000,345.460754,275000
2002-11-04,null,null,null,null,null,null
2002-11-05,432.000000,452.000000,428.000000,444.000000,365.201385,150000
2002-11-06,444.000000,456.000000,444.000000,448.000000,368.491486,275000
2002-11-07,448.000000,456.000000,436.000000,444.000000,365.201385,100000
2002-11-08,436.000000,440.000000,412.000000,424.000000,348.750854,75000
2002-11-11,412.000000,420.000000,358.000000,368.000000,302.689423,100000
2002-11-12,368.000000,416.000000,348.000000,416.000000,342.170654,100000
2002-11-13,420.000000,420.000000,404.000000,404.000000,332.300354,50000
2002-11-14,404.000000,404.000000,380.000000,388.000000,319.139954,25000
2002-11-15,390.000000,396.000000,376.000000,384.000000,315.849854,25000
2002-11-18,386.000000,386.000000,348.000000,360.000000,296.109222,50000
2002-11-19,356.000000,359.200012,318.000000,324.000000,266.498291,75000
2002-11-20,322.000000,340.000000,308.399994,312.000000,256.627991,75000
2002-11-21,324.000000,376.799988,323.600006,360.000000,296.109222,75000
2002-11-22,366.799988,370.000000,324.000000,336.000000,276.368622,200000
2002-11-25,338.000000,338.000000,312.000000,312.000000,256.627991,150000
2002-11-26,314.000000,324.799988,298.000000,300.000000,246.757690,175000
2002-11-27,298.000000,320.000000,280.399994,316.000000,259.918091,250000
2002-11-28,336.000000,336.000000,308.000000,312.000000,256.627991,150000
2002-11-29,312.000000,330.000000,294.799988,320.000000,263.208191,100000
